probe_name	transcript_name	function	structural	category	sub category 1	Officix7515_In1.c	Officix7515_In1.t	Officix7515_In5.c	Officix7515_In5.t	Officix7515_L1.c	Officix7515_L1.t	Robustx7515_In1.c	Robustx7515_In1.t	Robustx7515_In5.c	Robustx7515_In5.t	Robustx7515_L1.c	Robustx7515_L1.t	Spontx7515_In1.c	Spontx7515_In1.t	Spontx7515_In5.c	Spontx7515_In5.t	Spontx7515_L1.c	Spontx7515_L1.t
GS1_SS_22506_11925	SCQSLB1049C08.g	.	.	.	RecName:Uncharacterized serine-rich protein C215.13; Flags: Precursor	10.2426	10.472	7.936	7.7345	6.953	6.3282	10.2987	8.8098	8.1418	7.4074	6.9382		10.3457	9.6397	7.7397	6.9272	6.9343	6.8147
GS1_SS_19937_15415	SCRUFL1021E05.g	Others	cytochrome P450 family protein	Stress	cytochrome P450	7.7359	7.1905	6.8636	6.9514	9.1337	9.1537	7.6212	7.6665	6.9103	7.5525	9.2314	8.531	7.7753	7.2213			9.0145	8.5177
GS1_SS_22503_09872	SCMCRT2107C03.g	.	.	.	Protein YIPF1 homolog	10.921	11.3607	11.4359	11.5195	10.9798	11.4113	10.8772	11.8681	11.5151	11.9564	11.0125	11.7509	11.0036	11.1698	11.3925	12.2033	10.9599	11.6566
GS1_SS_19940_21837	SCEPAM1050E05.g	.	.	Transporters	(xan_ur_permease)	11.6309	12.0544	8.2023	9.5681	7.6612	7.1068	11.7808	12.5653	8.2792	9.5726	7.9411	7.3538	11.6614	11.6402	7.4167	7.8873	7.6585	7.0763
GS1_SS_22492_15205	SCAGSB1087E03.g	.	.	Pathogenicity	R-gene	6.9863		6.9765		7.2324		6.9682	7.316	6.8548		7.4112		7.0059	7.5731	7.7695		7.2327	
GS1_SS_19921_13570	SCRLFL1011C06.g	.	.	.	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1, 6-mannosyltransferase; Mannosyltransferase ALG12 homolog	9.5999	10.07	9.4877	10.0487	8.4075	9.4486	9.6943	9.8409	9.7064	9.8073	8.7347	8.9437	9.9082	10.2553	9.3568	10.1033	8.6095	9.384
GS1_SS_22488_19901	SCEZHR1086B05.g	.	.	Protein kinase	RLCK	8.4673	9.0478	8.0757	8.6482	8.1024	8.8058	8.3631	7.8115	7.9707	8.0344	8.1798	7.6936	8.5348	7.01	7.7518	6.9778	8.1969	6.4781
GS1_SS_19929_18938	SCRUFL1021B04.g	DNA metabolism	regulatory protein	Development	Histone acetyltransferase type B subunit 2 (Retinoblastoma binding protein P46) (Retinoblas	12.4058	12.3243	9.8554	10.0118	10.105	10.335	12.2995	13.1834	9.8616	11.1577	10.2948	9.7305	12.1323	12.477	9.5449	9.2732	10.2263	9.9202
GS1_SS_22494_18516	SCCCLR2002C09.g	.	.	Protein metabolism	Ribosomal protein L28-like	7.8485	8.9057	6.837	8.3136	6.4127	8.0709	8.2814	8.523	6.7318	7.3119	6.4971	7.4981	7.8234	8.9756	6.6016			7.5596
GS1_SS_22493_11974	SCRUSB1078F07.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861	7.5229	7.132					7.3861	7.6128		6.8479			7.518	8.3485				
GS1_SS_22497_16253	SCJLFL3017H03.g	Unknown	.	Unknown protein	F-box/LRR-repeat protein 17; AltName:F-box-like protein 17	12.7624	12.9827	6.2351	8.7811		7.8746	12.7232	12.5192		9.6518			12.6964	12.561		8.7924		
GS1_SS_19933_16626	SCQGST1033F06.g	.	.	other	Transforming growth factor-beta receptor-associated protein 1; TGF-beta receptor-associated protein 1; TRAP-1; TRAP1	10.5874	10.0137	10.5121	9.8576	10.5893	10.2739	10.3721	10.399	10.4947	10.3937	10.6523	10.6343	10.5604	10.3627	10.1551	9.9704	10.469	10.4485
GS1_SS_19930_13404	SCRUFL1021B08.g	.	.	.	RecName:Flavin-containing monooxygenase FMO GS-OX-like 8; AltName:Flavin-monooxygenase glucosinolate S-oxygenase-like 8	7.113	7.4553	7.2809	7.4688		6.1213	7.2828	7.5899	7.2944	7.3463			7.2518	7.4127	6.8943	6.8977		
GS1_SS_22496_11807	SCJLFL3017G12.g	.	.	.	.	8.7786	9.291	7.9867	8.4797	7.8793	8.0727	8.3726	8.9839	8.1944	8.7691	7.9958	8.7309	8.4661	8.6816	7.6365	8.2046	7.8747	9.071
GS1_SS_19935_21568	SCRLAM1006G07.g	Protein metabolism	.	Development	Putative developmental protein sina	13.5263	13.7933	7.3094	10.4467			13.4683	13.5528	7.3669	10.3958		6.7082	13.4581	13.2877	6.8405	8.2297		7.1762
GS1_SS_22501_06308	SCCCLB1004E09.g	.	.	.	.	12.0301	12.0479	12.2203	11.9457	9.9962	9.6978	11.8663	11.515	12.2327	12.3549	10.0594	10.3125	11.9466	11.3895	12.2799	12.1034	9.8703	10.3761
GS1_SS_22498_03053	SCEZRZ1016B08.g	.	.	.	Uncharacterized protein DDB_0266506	13.8178	13.5972	11.8049	12.0671	11.5192	10.9712	13.8241	13.5385	11.8339	12.1371	11.587	11.6904	13.8675	12.9264	11.7212	10.4177	11.3743	11.3406
GS1_SS_19934_12901	SCBFST3135G04.g	.	.	.	DUF246 domain-containing protein At1g04910	6.207	6.5579	6.6189	6.6108		6.5573	6.1111			6.7374						6.4651		
GS1_AS_17078_19613	SCQGLR1085B04.g	.	.	Protein phosphatase	serine/threonine PPM family	6.3358	7.2847					6.4496	7.6779		7.5725		8.4253	6.5752	8.3172		7.7031		7.888
GS1_AS_17088_16562	SCBFRZ2050F02.g	DNA metabolism	.	Development	Polycomb group protein FERTILIZATION-INDEPENDENT SEED 2	6.0417	6.7675		6.5095			6.0076	6.7085		6.7754	6.0065			6.4145				
GS1_SS_19965_14522	SCRFFL1030A10.g	.	.	.	.	9.1878	9.0371	8.3143	7.8102	7.0679		9.1762	9.8	8.4357	9.1673	7.4937	7.2802	9.6354	10.2297	8.0756	8.2351	7.2398	7.8002
GS1_SS_22523_09248	SCJLFL3019G10.g	Cell wall metabolism	Polysaccharide biosynthesis	Cell wall	cellulose synthase like (CSL)	9.0725	8.8801	8.3058	8.9473			8.6219	9.1353	8.4076	8.8297	5.9038	7.0954	9.1368	9.4125	8.13	8.0796		7.7383
GS1_SS_19960_18997	SCVPRZ2040G05.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	RecName:Sterol 3-beta-glucosyltransferase; AltName:Autophagy-related protein 26	8.5237	8.8145	8.7149	8.5924	8.7424	9.4285	8.3318	8.2081	8.6925	8.1588	8.8039	8.4401	8.3052	8.5398	8.3993	8.904	8.7868	8.712
GS1_SS_22509_13529	SCCCCL4015C02.g	.	.	.	RecName:Immediate-early protein 2; Short=IE2	10.458	10.671	9.4338	12.9495			10.384	11.5592	9.4283	13.1406			10.5993	11.8114	9.0559	12.5746		
GS1_SS_19943_03151	SCRUFL1118H05.b	.	.	.	.	9.9972	10.2393	9.3304	9.7265	9.2539	9.3562	9.8133	9.6579	9.1914	9.5694	9.4566	9.132	9.9042	10.0123	8.983	9.5513	9.2638	9.5345
GS1_SS_22508_21280	SCRULB1060G09.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	Possible proline synthetase associated protein	11.738	11.7292	11.9909	11.904	11.6324	11.7449	11.7205	11.6677	11.9779	11.9062	11.7265	12.291	11.4704	11.9972	11.8084	11.9249	11.8137	12.458
GS1_SS_19941_10086	SCRFLB1054A08.g	.	.	.	.	10.6578	10.6853	8.0245	8.8288	7.0619	6.8566	10.8983	10.9843	8.2272	9.3681	7.0829		10.8708	11.2294	7.7047	7.8322	6.9037	7.0617
GS1_SS_22511_10138	SCQGAM2026D09.g	.	.	.	Kinetochore protein nuf2 (NMS complex subunit nuf2)	9.4289	9.7902	8.4729	10.1365	8.1048	9.3875	8.8568	8.6205	7.9249	7.7313	8.5566	9.2452	8.2077		7.3777		8.1941	
GS1_SS_19948_09994	SCRUFL1021G03.b	.	.	.	Iron-sulfur assembly protein IscA-like 1, mitochondrial;	10.8673	10.8756	10.5628	10.5626	12.2853	12.0167	10.4764	10.2532	10.5643	11.0131	12.2874	12.2478	10.8935	11.1733	10.3274	10.9832	12.1027	12.5172
GS1_SS_22510_03436	SCRFLR1034H12.g	Protein metabolism	ribosomal protein	.	50S ribosomal protein L6, chloroplastic; Protein EMBRYO DEFECTIVE 2394;	9.3101	9.2387	10.1262	9.539	13.2037	13.0218	8.9496	8.7761	9.8754	9.0797	13.2605	12.3438	9.4685	9.146	10.0139	10.3969	12.7374	11.7881
GS1_SS_19945_10987	SCEPRZ1008D01.g	.	.	.	.	6.7492						6.3704	7.3483		7.0739	5.7471	7.427	6.7949	6.963				
GS1_SS_22516_14916	SCSFFL4015E12.g	.	.	No matches	RecName:Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1	6.5511	6.6274	7.3141	7.4323	6.8446	7.3397	6.1309		7.6063		6.8498	7.5129			6.6056	8.7313	7.3128	8.1866
GS1_SS_22513_09987	SCCCLR1066H08.g	.	.	Stress	Thioredoxin	16.2058	15.9317	16.427	16.3104	15.9735	15.1335	16.2208	16.0856	16.2713	16.4879	16.1032	15.8839	15.9818	16.5011	16.4787	16.4359	16.0048	16.0203
GS1_SS_19957_15326	SCRLFL1012E01.g	.	.	Amino acid metabolism	Phosphoribosylanthranilate isomerase	11.9407	12.0402	11.5438	11.6881	11.8931	12.1191	11.6123	12.0935	11.4519	11.678	12.2594	12.3732	11.7331	11.6174	11.22	10.8019	11.985	11.6867
GS1_SS_22517_13081	SCEPLR1030D10.g	.	.	.	Developmentally-regulated GTP-binding protein 1; DRG-1; xDRG	8.4195	8.1071	8.3394	7.8559	9.0869	8.6454	8.2633	8.4157	8.2849	8.1185	9.3342	9.1785	8.265	8.1987	8.0663	7.9557	9.1127	9.2481
GS1_SS_19953_00984	SCEQRT1030G12.g	.	.	.	Calpain-D; Calcium-activated neutral proteinase D; CANP D; Small optic lobes protein	8.4364	8.372	7.5757	7.3706	8.0033	7.9141	8.1841	8.1951	7.772	7.6331	8.1138	7.7828	8.3017	8.202	7.3017	7.482	8.0237	7.9921
