probe_name	transcript_name	function	structural	category	sub category 1	Circadian_24h.c	Circadian_24h.t	Circadian_28h.c	Circadian_28h.t	Circadian_32h.c	Circadian_32h.t	Circadian_36h.c	Circadian_36h.t	Circadian_40h.c	Circadian_40h.t	Circadian_44h.c	Circadian_44h.t	Circadian_48h.c	Circadian_48h.t	Circadian_52h.c	Circadian_52h.t	Circadian_56h.c	Circadian_56h.t	Circadian_60h.c	Circadian_60h.t	Circadian_64h.c	Circadian_64h.t	Circadian_68h.c	Circadian_68h.t
GS1_SS_22506_11925	SCQSLB1049C08.g	.	.	.	RecName:Uncharacterized serine-rich protein C215.13; Flags: Precursor	7.5505	7.9603	8.0351	8.3195	7.9111	8.2651	7.7688	7.2207	7.936	7.8637	7.9612	7.8642	7.9749	8.0405	7.9584	8.1207	7.8609	7.9268	8.0846	7.9466	7.8868	7.6352	7.7742	7.6135
GS1_SS_19937_15415	SCRUFL1021E05.g	Others	cytochrome P450 family protein	Stress	cytochrome P450		6.2015	6.0823	5.8341	6.2002		6.2367	6.5561		6.3756	5.8451	6.7978	6.1073	6.194			5.99	5.7863	6.1073	6.2375	6.3801	6.7181	6.3513	
GS1_SS_22503_09872	SCMCRT2107C03.g	.	.	.	Protein YIPF1 homolog	10.8275	10.7629	11.0402	11.1438	10.687	10.712	10.8659	10.9346	10.5415	10.6106	11.0427	11.25	10.5539	10.5759	10.5398	10.5508	10.806	10.9577	10.7624	10.7588	10.9028	10.9273	10.9728	10.9375
GS1_SS_19940_21837	SCEPAM1050E05.g	.	.	Transporters	(xan_ur_permease)			5.771		5.6651						5.9947	6.2975		6.1177			5.6941						5.8819	6.0204
GS1_SS_22492_15205	SCAGSB1087E03.g	.	.	Pathogenicity	R-gene				6.2868										5.9025	6.8107	7.1334								
GS1_SS_19921_13570	SCRLFL1011C06.g	.	.	.	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1, 6-mannosyltransferase; Mannosyltransferase ALG12 homolog	7.2868	6.6475	7.2035	6.6411	7.0749	7.1541	7.3067	7.7437	6.3923	6.8666	7.1889	7.1688	6.8729	6.8645	7.5971	7.8006	7.119	7.3617	7.0159	7.4065	7.4761	7.6372	7.2277	7.1301
GS1_SS_22488_19901	SCEZHR1086B05.g	.	.	Protein kinase	RLCK	7.5557	7.7557	8.0452	7.7835	7.8959	7.63	8.0328	8.0247	7.75	7.8502	7.7185	7.6462	7.861	7.9019	8.4986	8.758	7.8445	7.5691	7.9074	7.8069	7.9325	8.0452	7.63	7.4204
GS1_SS_19929_18938	SCRUFL1021B04.g	DNA metabolism	regulatory protein	Development	Histone acetyltransferase type B subunit 2 (Retinoblastoma binding protein P46) (Retinoblas	9.5581	9.2525	10.1515	9.1993	9.8852	9.1512	9.9212	10.1826	10.2329	10.0393	9.8801	10.5477	9.8879	9.6654	9.5076	8.848	9.9474	9.7172	9.8543	10.131	9.8776	10.3323	10.2004	9.7374
GS1_SS_22494_18516	SCCCLR2002C09.g	.	.	Protein metabolism	Ribosomal protein L28-like			6.6906	5.8638	6.3349	6.4871	6.3007	6.6119	6.1513	6.8007	6.427	6.8027	6.6734	6.0522			6.1106	6.508	6.2612	6.768	6.1285	6.9562	6.6597	6.182
GS1_SS_22493_11974	SCRUSB1078F07.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861			5.6671	6.5131	6.3077	6.014			6.0783	5.8643			6.2267	6.6782			5.9036		6.5983	6.7037			5.6841	
GS1_SS_19928_19743	SCRUFL1021A08.g	.	.	Unknown protein	.															7.7436	8.0989								
GS1_SS_22497_16253	SCJLFL3017H03.g	Unknown	.	Unknown protein	F-box/LRR-repeat protein 17; AltName:F-box-like protein 17	7.1072	7.317	8.0184	7.7954	7.6779	7.212	7.411	7.0274	7.8335	8.0519	8.1139	8.6639	7.7314	7.8219	7.2337	6.8462	7.5764	7.1925	7.7529	7.7143	7.4329	7.7784	7.9238	7.6341
GS1_SS_19933_16626	SCQGST1033F06.g	.	.	other	Transforming growth factor-beta receptor-associated protein 1; TGF-beta receptor-associated protein 1; TRAP-1; TRAP1	9.5339	9.5411	10.0353	9.8957	9.7479	10.0037	9.8282	9.8189	9.696	9.7675	9.6791	9.5812	9.7099	9.6767	9.7816	9.5746	9.9135	9.9329	9.705	9.8976	9.6138	9.7239	9.5198	9.3435
