probe_name	transcript_name	function	structural	category	sub category 1	3280.D.L1.C1.c	3280.D.L1.C1.t	3280.D.L1.C2.c	3280.D.L1.C2.t	3280.D.L1.C3.c	3280.D.L1.C3.t	3280.D.R.C1.c	3280.D.R.C1.t	3280.D.R.C2.c	3280.D.R.C2.t	3280.D.R.C3.c	3280.D.R.C3.t
GS1_SS_22506_11925	SCQSLB1049C08.g	.	.	.	RecName:Uncharacterized serine-rich protein C215.13; Flags: Precursor				9.1008		7.9687	8.626	8.3697	8.5201	8.9836	8.7075	8.5553
GS1_SS_22503_09872	SCMCRT2107C03.g	.	.	.	Protein YIPF1 homolog	10.7734	10.7462	11.4682	11.8192	10.7531	10.4653	11.8824	12.0809	12.3162	12.4883	12.1694	12.1632
GS1_SS_19940_21837	SCEPAM1050E05.g	.	.	Transporters	(xan_ur_permease)							8.566	7.902	9.7176	7.9968	9.2005	8.9178
GS1_SS_19921_13570	SCRLFL1011C06.g	.	.	.	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1, 6-mannosyltransferase; Mannosyltransferase ALG12 homolog	8.2454		8.5409		8.061		8.7506	9.0146	9.697	9.4426	9.2044	9.1746
GS1_SS_19929_18938	SCRUFL1021B04.g	DNA metabolism	regulatory protein	Development	Histone acetyltransferase type B subunit 2 (Retinoblastoma binding protein P46) (Retinoblas	9.5388	9.8522	9.3957		7.9197	8.4675	10.785	10.4151	10.8176	10.4091	10.8239	10.1457
GS1_SS_22494_18516	SCCCLR2002C09.g	.	.	Protein metabolism	Ribosomal protein L28-like							7.6233	8.0043	8.5693	8.3705	8.7032	7.8867
GS1_SS_19933_16626	SCQGST1033F06.g	.	.	other	Transforming growth factor-beta receptor-associated protein 1; TGF-beta receptor-associated protein 1; TRAP-1; TRAP1	9.1329	9.0524	8.867	9.2652	8.0877		9.5778	9.7375	9.86	10.3379	10.1922	10.2159
GS1_SS_22497_16253	SCJLFL3017H03.g	Unknown	.	Unknown protein	F-box/LRR-repeat protein 17; AltName:F-box-like protein 17							9.0089	8.8371	10.3813		10.0273	8.6874
GS1_SS_19930_13404	SCRUFL1021B08.g	.	.	.	RecName:Flavin-containing monooxygenase FMO GS-OX-like 8; AltName:Flavin-monooxygenase glucosinolate S-oxygenase-like 8							7.7572	7.7281	8.2396	7.8878	8.0032	7.4441
GS1_SS_22496_11807	SCJLFL3017G12.g	.	.	.	.							7.1449	7.2006	7.6776	8.2394	7.7434	7.7034
GS1_SS_19935_21568	SCRLAM1006G07.g	Protein metabolism	.	Development	Putative developmental protein sina							8.5092	8.3988	8.7297		8.9968	7.95
GS1_SS_22501_06308	SCCCLB1004E09.g	.	.	.	.		9.1651	8.6195	9.1226	8.6209		11.1657	11.4422	11.719	11.8926	11.9757	12.0401
GS1_SS_22498_03053	SCEZRZ1016B08.g	.	.	.	Uncharacterized protein DDB_0266506	10.9519	10.3802	10.4074	8.6242	10.0237	10.1006	10.8301	9.9395	11.1877	11.1343	10.6838	10.9376
GS1_AS_17099_15343	SCBGLR1119B08.g	.	.	Carbohydrate metabolism	Aspartyl protease-like	9.0496	8.7103	8.4126	9.018		8.4427						6.5105
GS1_AS_17088_16562	SCBFRZ2050F02.g	DNA metabolism	.	Development	Polycomb group protein FERTILIZATION-INDEPENDENT SEED 2	12.9077	12.9248	13.0741	11.9516	12.0753	11.7687		7.081	7.054		6.5507	
GS1_AS_41338_19849	SCCCSD1096H12.g	.	.	Transcription Factor	bZIP		8.7115		9.438	8.3462	8.9492	8.1622	7.4779	7.1121		7.3293	
GS1_AS_17096_00159	SCQSSB1077H08.g	Unknown	no matches	.	.											6.5573	6.4993
GS1_SS_19965_14522	SCRFFL1030A10.g	.	.	.	.							8.3214	7.6955	8.9291		8.5017	7.9944
GS1_SS_19960_18997	SCVPRZ2040G05.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	RecName:Sterol 3-beta-glucosyltransferase; AltName:Autophagy-related protein 26			8.4617		7.7024		7.9262	7.6788	8.4778	8.139	7.8855	7.9394
GS1_AS_41348_21794	SCEPSD2005C11.g	.	.	Development	cell differentiation							7.366	7.1997		7.6381	6.6811	
GS1_AS_41368_19118	SCEPSD2007H06.g	.	.	No matches	.	11.0707	10.8414	9.8593	10.7451	10.5463	10.9987	10.2815	9.0867	9.1227	9.6413	9.1314	8.8511
GS1_SS_19943_03151	SCRUFL1118H05.b	.	.	.	.		8.1217	8.1324				8.0082	8.3772	8.6949	9.2386	8.3862	8.8312
GS1_SS_22509_13529	SCCCCL4015C02.g	.	.	.	RecName:Immediate-early protein 2; Short=IE2							10.6727	11.4958	10.0839	9.1182	10.9318	10.4094
GS1_SS_22508_21280	SCRULB1060G09.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	Possible proline synthetase associated protein	12.5213	12.4714	13.1397	13.1165	11.98	12.3784	12.3811	11.9778	12.4557	12.4731	11.912	12.2129
GS1_SS_19941_10086	SCRFLB1054A08.g	.	.	.	.					7.6505		8.5084	8.6856	9.2503	8.2902	8.9021	8.2499
GS1_SS_22511_10138	SCQGAM2026D09.g	.	.	.	Kinetochore protein nuf2 (NMS complex subunit nuf2)	9.0762	9.0811	9.4778	9.0123	8.7288	9.1679	7.9217	8.1927	8.9865	9.2896	8.3965	8.5603
GS1_SS_19948_09994	SCRUFL1021G03.b	.	.	.	Iron-sulfur assembly protein IscA-like 1, mitochondrial;	10.3368	10.7513	11.7369	13.5506	11.4315	9.5884	11.2013	11.3828	11.0758	11.9984	11.489	11.653
GS1_SS_22510_03436	SCRFLR1034H12.g	Protein metabolism	ribosomal protein	.	50S ribosomal protein L6, chloroplastic; Protein EMBRYO DEFECTIVE 2394;	14.2078	12.9624	14.2048	11.6112	13.3563	14.9539	8.9246	9.0839	8.3867	8.905	8.2485	8.6983
