probe_name	transcript_name	function	structural	category	sub category 1	A1V2E3_0.80.c	A1V2E3_0.80.t	A1V2E5_0.80.c	A1V2E5_0.80.t	A1V2E6_0.80.c	A1V2E6_0.80.t
GS1_SS_22506_11925	SCQSLB1049C08.g	.	.	.	RecName:Uncharacterized serine-rich protein C215.13; Flags: Precursor	7.7017	7.9943	9.7835	11.4082	9.553	11.8023
GS1_SS_19937_15415	SCRUFL1021E05.g	Others	cytochrome P450 family protein	Stress	cytochrome P450			9.2511	8.5174	7.6133	7.4738
GS1_SS_22503_09872	SCMCRT2107C03.g	.	.	.	Protein YIPF1 homolog	11.2323	11.3897	12.5553	13.1804	12.4824	13.4981
GS1_SS_19921_13570	SCRLFL1011C06.g	.	.	.	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1, 6-mannosyltransferase; Mannosyltransferase ALG12 homolog	8.2241	8.4827	9.8882	9.7149	9.3274	9.4912
GS1_SS_22492_15205	SCAGSB1087E03.g	.	.	Pathogenicity	R-gene			6.7426	6.8292	6.9378	
GS1_SS_22488_19901	SCEZHR1086B05.g	.	.	Protein kinase	RLCK	8.1055	8.0281	8.8739	9.486	9.1258	9.5847
GS1_SS_19929_18938	SCRUFL1021B04.g	DNA metabolism	regulatory protein	Development	Histone acetyltransferase type B subunit 2 (Retinoblastoma binding protein P46) (Retinoblas	9.1284	9.201	10.8567	9.3692	10.7688	8.087
GS1_SS_22494_18516	SCCCLR2002C09.g	.	.	Protein metabolism	Ribosomal protein L28-like	6.7676	6.7864	9.2074	8.0341	8.0729	8.7637
GS1_SS_22493_11974	SCRUSB1078F07.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861		6.4044	6.3287	10.9482	7.7472	11.2173
GS1_SS_22497_16253	SCJLFL3017H03.g	Unknown	.	Unknown protein	F-box/LRR-repeat protein 17; AltName:F-box-like protein 17	9.9192	9.9344	10.7928	11.4227	11.0649	11.4661
GS1_SS_19933_16626	SCQGST1033F06.g	.	.	other	Transforming growth factor-beta receptor-associated protein 1; TGF-beta receptor-associated protein 1; TRAP-1; TRAP1	9.052	9.6785	11.8043	11.9016	11.022	12.0419
GS1_SS_19930_13404	SCRUFL1021B08.g	.	.	.	RecName:Flavin-containing monooxygenase FMO GS-OX-like 8; AltName:Flavin-monooxygenase glucosinolate S-oxygenase-like 8	7.4944	7.5403	8.8795	7.9358	8.5749	8.1332
GS1_SS_22496_11807	SCJLFL3017G12.g	.	.	.	.		6.8224	7.8602	8.2668	7.4691	8.0739
GS1_SS_22501_06308	SCCCLB1004E09.g	.	.	.	.	10.4177	10.2663	12.0392	12.8624	12.1242	12.339
GS1_SS_19935_21568	SCRLAM1006G07.g	Protein metabolism	.	Development	Putative developmental protein sina			6.7702	7.0892	6.9805	8.104
GS1_SS_22498_03053	SCEZRZ1016B08.g	.	.	.	Uncharacterized protein DDB_0266506	11.2163	11.1787	12.1908	11.568	12.2404	9.9371
GS1_SS_19934_12901	SCBFST3135G04.g	.	.	.	DUF246 domain-containing protein At1g04910			6.9907	6.5218	7.062	
GS1_AS_41341_16391	SCEPSD2004E09.g	Protein metabolism	.	Protein metabolism	60S ribosomal protein L36 (TRP36)			6.8781	6.9081		7.0103
GS1_AS_41226_19108	SCSBSD1031A11.g	.	.	Bioenergetics	aerobic respiration			6.8816	6.5079		6.6906
GS1_AS_41186_16564	SCACSD1014H04.g	Others	cytochrome P450 family proteinCell wall	Stress	Cytochrome P450			6.6023	6.0098		
GS1_AS_17088_16562	SCBFRZ2050F02.g	DNA metabolism	.	Development	Polycomb group protein FERTILIZATION-INDEPENDENT SEED 2	7.2119	6.9683	6.9408	7.17	7.0621	7.5655
GS1_AS_41338_19849	SCCCSD1096H12.g	.	.	Transcription Factor	bZIP			6.5492	6.4949	7.169	6.5086
GS1_AS_17096_00159	SCQSSB1077H08.g	Unknown	no matches	.	.	6.6316		8.0289	7.075	7.1129	6.9703
GS1_SS_19965_14522	SCRFFL1030A10.g	.	.	.	.	7.3478	7.2469	7.9654	8.7392	8.7179	7.8622
GS1_SS_22523_09248	SCJLFL3019G10.g	Cell wall metabolism	Polysaccharide biosynthesis	Cell wall	cellulose synthase like (CSL)	10.3099	10.8062	10.5202	7.1346	11.9411	
GS1_SS_19960_18997	SCVPRZ2040G05.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	RecName:Sterol 3-beta-glucosyltransferase; AltName:Autophagy-related protein 26	7.9291	8.1407	8.738	8.455	8.4597	8.0947
GS1_AS_41348_21794	SCEPSD2005C11.g	.	.	Development	cell differentiation	7.1228	7.3335	7.2749	8.3088	8.2618	8.8123
GS1_SS_19943_03151	SCRUFL1118H05.b	.	.	.	.	8.9278	8.9916	9.8748	9.5629	9.834	8.5468
GS1_SS_22508_21280	SCRULB1060G09.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	Possible proline synthetase associated protein	12.6804	12.5946	13.8061	13.7458	14.1507	13.6533
GS1_SS_19941_10086	SCRFLB1054A08.g	.	.	.	.			7.6788	6.5739	7.4163	6.7527
GS1_SS_22511_10138	SCQGAM2026D09.g	.	.	.	Kinetochore protein nuf2 (NMS complex subunit nuf2)	7.5689	7.3955	8.4099	7.8555	8.7593	7.4541
GS1_SS_19948_09994	SCRUFL1021G03.b	.	.	.	Iron-sulfur assembly protein IscA-like 1, mitochondrial;	13.3539	13.2735	13.9244	15.6517	14.0737	16.4616
GS1_SS_22510_03436	SCRFLR1034H12.g	Protein metabolism	ribosomal protein	.	50S ribosomal protein L6, chloroplastic; Protein EMBRYO DEFECTIVE 2394;	13.5668	13.8668	15.3017	12.8949	15.5337	12.4084
GS1_SS_22516_14916	SCSFFL4015E12.g	.	.	No matches	RecName:Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1		6.8732	8.1849	7.6179	8.107	7.2216
GS1_SS_22513_09987	SCCCLR1066H08.g	.	.	Stress	Thioredoxin	16.6204	15.7615	16.8172	16.6936	16.0453	17.5116
GS1_SS_19957_15326	SCRLFL1012E01.g	.	.	Amino acid metabolism	Phosphoribosylanthranilate isomerase	11.1503	11.1642	11.8077	12.1794	12.1312	11.8138
GS1_SS_22517_13081	SCEPLR1030D10.g	.	.	.	Developmentally-regulated GTP-binding protein 1; DRG-1; xDRG	9.4802	9.414	10.3421	11.3506	10.5746	11.3709
GS1_SS_19953_00984	SCEQRT1030G12.g	.	.	.	Calpain-D; Calcium-activated neutral proteinase D; CANP D; Small optic lobes protein		7.2479	9.5035	9.8957	8.9674	9.2373
GS1_SS_22507_10969	SCJLFL3018D03.g	.	.	.	RecName:Protein MEI2-like 2; Short=OML2; AltName:MEI2-like protein 2			7.6343	8.318	7.4107	8.8023
GS1_AS_22454_06918	SCJFFL3C02C03.g	.	.	.	Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1		6.647	7.0632	7.5457		
GS1_AS_17126_18876	SCCCLR1080G11.g	.	.	Phosphatases	Serine/Threonine Phosphatases			7.2005	8.2723		7.7667
GS1_SS_22465_14378	SCJLRT1019D10.g	Unknown	Uncharacterized	.	RecName:Serine/arginine repetitive matrix protein 1	10.2808	10.1875	12.3968	11.9833	11.8424	10.9751
GS1_SS_22468_10875	SCJFHR1034D01.g	.	.	.	KH domain-containing protein At4g18375	8.2168	8.5881	10.3586	10.0288	10.079	9.5986
GS1_SS_22466_00565	SCACLR1057B05.g	Unknown	uncharacterized	.	.	6.9438		10.2254	9.7118	7.7253	11.0471
GS1_SS_22450_00279	SCQGFL3051G05.g	.	.	.	.	8.8685	8.8139	10.4206	9.8696	10.6819	8.9968
GS1_SS_22448_11180	SCRFLR1012G04.g	.	.	.	Centromeric protein E; CENP-E	7.9505	7.8803	10.0397	9.0423	9.8155	9.0267
GS1_SS_22455_08532	SCVPHR1096C12.g	.	.	.	Pseudouridylate synthase 7 homolog			7.0949	6.7293		6.7195
GS1_SS_22459_13615	SCJLRT1018C07.g	RNA metabolism	exonuclease	.	Exosome complex exonuclease RRP42; Ribosomal RNA-processing protein 42; Exosome component 7; p8	9.2998	9.3009	10.8433	10.597	10.7326	9.9898
GS1_SS_22485_21393	SCQGFL3053A08.g	.	.	Transcription Factor	.	9.468	9.5881	10.4129	11.2304	10.3895	10.8963
GS1_SS_19918_18280	SCRLFL1011A02.g	Lipid metabolism	acyltransferase	Lipid, fatty-acid and isoprenoid metabolism	RecName:Phospholipase A(1) LCAT3; AltName:Lecithin-cholesterol acyltransferase-like 3	11.841	12.0816	12.7675	17.4119	12.6329	17.6581
GS1_SS_19916_20485	SCRUFL1020F09.g	Carbohydrate metabolism	receptor	Carbohydrate metabolism	Similarity to elicitor-inducible receptor EIR			7.2491	7.2502	7.5248	6.0991
GS1_SS_22484_11922	SCJFRZ2011F04.g	.	.	.	Coatomer subunit beta-2; Beta-coat protein 2; Beta-COP 2	12.9559	13.2256	14.7094	15.1044	14.4575	15.3033
GS1_SS_19920_13306	SCRLFL1011C02.g	.	.	.	.	8.7858	8.7123	9.4455	9.5249	9.2477	9.5321
GS1_SS_22487_05676	SCBGHR1061H07.g	Unknown	.	.	RecName:Probable serine/threonine-protein kinase DDB_G0282963	7.7926	7.5939	7.7765	7.0498	7.9352	6.6673
GS1_SS_22470_05768	SCEZSD1080E02.g	.	.	.	Protease Do-like 1, chloroplastic;	14.395	14.8119	15.4561	15.4752	15.8115	13.9293
GS1_SS_19906_20593	SCEZRZ1015B08.g	.	.	Transporters	Endomembrane protein 70 (EMP70)	11.8157	12.0345	12.8971	12.8805	13.3787	11.7945
GS1_SS_19904_14962	SCRLFL1010G05.g	Carbohydrate metabolism	synthase	Carbohydrate metabolism	Starch synthase	8.2097	7.8803	9.6778	11.4704	9.7513	10.8632
GS1_SS_22473_13756	SCVPCL6064A12.g	.	.	.	Pentatricopeptide repeat-containing protein At1g74850, chloroplastic; Protein PLASTID TRANSCRIPTIONALLY ACTIVE 2;	13.7757	14.0708	14.9444	14.9701	15.3872	15.1204
GS1_SS_22478_06529	SCMCRT2103G10.g	Lipid metabolism	Reductase	.	Delta(14)-sterol reductase; C-14 sterol reductase; Sterol C14-reductase; Protein FACKEL	10.1723	10.2546	11.579	10.9474	11.2526	10.2278
GS1_SS_22475_00231	SCJLFL3015H01.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861	9.9645	10.0779	12.0723	10.9696	11.2088	10.7185
GS1_SS_19911_19392	SCEZSB1090F08.g	Protein metabolism	cullin	Cell cycle	Cullin-like protein		7.4641	9.2329	8.022	8.1271	6.9438
GS1_SS_22480_11107	SCEQRT2090D03.g	.	.	.	C-4 methylsterol oxidase; Methylsterol monooxygenase	12.675	12.6245	13.7346	13.7104	14.1105	13.1659
GS1_SS_19914_12512	SCAGLB1069F01.g	.	.	.	.	13.2948	13.2021	14.1439	15.0296	14.5855	14.6302
GS1_AS_22378_20590	SCEZLR1031E05.g	Protein metabolism	Ribosomal protein	Protein metabolism	50S ribosomal protein L5 (Fragment)			7.6959	6.3269		
GS1_AS_41047_19906	SCMCLB2083G12.g	Unknown	.	.	RecName:Actin cytoskeleton-regulatory complex protein PAN1	9.5835	9.6178	10.4578	10.6722	10.3354	10.9297
GS1_SS_22422_11117	SCJLFL3014B10.g	.	.	.	.	12.3758	12.8581	13.3491	13.8101	14.0172	12.1944
GS1_SS_22420_02744	SCACCL6011C10.g	.	.	.	WD repeat-containing protein 12	8.385	7.898	10.8373	9.3099	9.5755	8.945
GS1_SS_22426_13510	SCSGST1069D07.g	.	.	.	.	9.273	9.2847	10.3482	10.3346	10.5481	9.9687
GS1_SS_22417_19259	SCEPAM1015B01.g	.	.	Protein metabolism	Tryptophanyl-tRNA synthetase (EC 6.1.1.2) (Tryptophan--tRNA ligase) (TrpRS)	11.3961	10.7205	14.3689	12.1104	13.0657	11.8343
GS1_SS_22416_14188	SCQGFL3050B12.g	.	.	.	Probable ribonuclease P/MRP protein subunit POP5; Protein EMBRYO DEFECTIVE 1687	8.4042	7.453	8.4541	8.4109	9.184	7.6974
GS1_SS_22419_14154	SCCCRZ3097D07.g	.	.	.	Uncharacterized protein C1020.05 precursor; metallophosphoesterase superfamily/purple acid phosphatase family  	11.5275	11.7032	13.7262	13.1085	13.4825	12.3566
GS1_SS_22418_12080	SCACAM2042E06.g	.	.	.	.			6.2895	6.8104	6.8017	
GS1_AS_40080_14628	SCCCRT3008H11.g	.	.	Pathogenicity	R-genes	8.0659	8.1073	9.5488	9.7968	9.9932	9.9292
GS1_AS_40039_19472	SCCCRT3002E04.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	3-hydroxy-3-methylglutaryl-coenzyme A reductase (EC 1.1.1.34) (HMG-CoA reductase)	6.7325		7.3094	7.3779	7.0572	7.7385
GS1_SS_22443_04012	SCJLFL3014E05.g	Unknown	no matches	.		6.9741	7.573	6.5762	8.2859	7.9753	
GS1_SS_22442_18014	SCEZRZ1016F07.g	.	.	Carbohydrate metabolism	Alpha-amylase	9.4757	9.6232	11.2513	11.544	11.1474	11.4776
GS1_SS_22444_14429	SCCCLR1072A02.g	Protein metabolism	.	.	Subtilisin-like protease; Cucumisin-like serine protease;			7.6613	7.1778	7.1537	
