probe_name	transcript_name	function	structural	category	sub category 1	15S_E1.1.C_C.030409_0.96.c	15S_E1.1.C_C.030409_0.96.t	15S_F1.1.C_C.030409_0.96.c	15S_F1.1.C_C.030409_0.96.t	36S_E1.1.C_C.030409_0.96.c	36S_E1.1.C_C.030409_0.96.t	36S_F1.1.C_C.030409_0.96.c	36S_F1.1.C_C.030409_0.96.t	79S_E1.1.C_C.030409_0.96.c	79S_E1.1.C_C.030409_0.96.t	79S_F1.1.C_C.030409_0.96.c	79S_F1.1.C_C.030409_0.96.t
GS1_SS_22506_11925	SCQSLB1049C08.g	.	.	.	RecName:Uncharacterized serine-rich protein C215.13; Flags: Precursor	12.2117	11.1491	9.0885	8.2755	11.9666	10.9764	9.8801	8.222	12.0477	11.1574	8.052	7.6691
GS1_SS_19937_15415	SCRUFL1021E05.g	Others	cytochrome P450 family protein	Stress	cytochrome P450	7.8441	7.8263	7.5327	6.6511	7.8079	7.9606		7.7937	6.8522			
GS1_SS_22503_09872	SCMCRT2107C03.g	.	.	.	Protein YIPF1 homolog	11.8442	11.6593	10.658	10.4188	12.0897	12.0982	11.1513	11.0969	12.5675	12.2191	11.0406	11.1149
GS1_SS_19940_21837	SCEPAM1050E05.g	.	.	Transporters	(xan_ur_permease)	12.6487	11.8718			11.7877	11.9854			11.8157	11.0617	6.4444	
GS1_SS_22492_15205	SCAGSB1087E03.g	.	.	Pathogenicity	R-gene	7.3317	7.3462			7.8903	7.9362		7.1061				
GS1_SS_19921_13570	SCRLFL1011C06.g	.	.	.	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1, 6-mannosyltransferase; Mannosyltransferase ALG12 homolog	10.569	11.02	8.0722	7.8597	10.2279	11.2204		8.7312	9.7737	10.3493	7.8853	7.6096
GS1_SS_22488_19901	SCEZHR1086B05.g	.	.	Protein kinase	RLCK	10.0024	10.5648	8.2026	8.5641	9.7894	11.049	8.5307	8.7864	8.6792	8.6691	6.5096	
GS1_SS_19929_18938	SCRUFL1021B04.g	DNA metabolism	regulatory protein	Development	Histone acetyltransferase type B subunit 2 (Retinoblastoma binding protein P46) (Retinoblas	13.6509	13.6982	11.3985	10.4535	13.3858	13.6374	9.8327	11.701	13.6723	14.0679	11.4953	10.3218
GS1_SS_22494_18516	SCCCLR2002C09.g	.	.	Protein metabolism	Ribosomal protein L28-like	8.3562	8.1473	7.2482	7.1628	9.737	9.1534		7.8588	9.3395	9.116	6.8003	7.3408
GS1_SS_22493_11974	SCRUSB1078F07.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein LOC284861	9.2027	8.761	6.8235	7.2801	9.0555	8.2191	8.0199	7.674	10.153	9.7207	8.0767	8.3783
GS1_SS_22497_16253	SCJLFL3017H03.g	Unknown	.	Unknown protein	F-box/LRR-repeat protein 17; AltName:F-box-like protein 17	14.446	13.2706	7.9662	6.8041	14.7138	14.2349	8.202	7.3747	14.4918	14.3921	10.3181	10.953
GS1_SS_19933_16626	SCQGST1033F06.g	.	.	other	Transforming growth factor-beta receptor-associated protein 1; TGF-beta receptor-associated protein 1; TRAP-1; TRAP1	11.5379	12.2146	11.0593	11.1257	11.5189	12.0111	10.8952	10.9321	12.1534	12.6964	11.1444	11.3833
GS1_SS_19930_13404	SCRUFL1021B08.g	.	.	.	RecName:Flavin-containing monooxygenase FMO GS-OX-like 8; AltName:Flavin-monooxygenase glucosinolate S-oxygenase-like 8	8.7906	7.8028	7.5414	7.7057	8.8712	8.2574	8.1891	8.1661	8.4881	7.8752	7.8269	7.9236
GS1_SS_22496_11807	SCJLFL3017G12.g	.	.	.	.	9.6545	10.2346	6.3916		10.0303	10.9134		7.7043	8.152	8.7737		
GS1_SS_19935_21568	SCRLAM1006G07.g	Protein metabolism	.	Development	Putative developmental protein sina	14.3953	12.4547	6.9424	7.3648	14.3026	12.4791	7.6562	7.0812	14.3465	12.3685	9.7408	9.6389
GS1_SS_22501_06308	SCCCLB1004E09.g	.	.	.	.	12.8552	12.5513	9.0007	10.2313	13.1616	12.9387	10.6101	10.4563	12.2615	12.4929	8.5847	10.0757
GS1_SS_22498_03053	SCEZRZ1016B08.g	.	.	.	Uncharacterized protein DDB_0266506	14.4978	14.7298	10.9001	11.3663	13.9954	14.7081	10.7136	11.1658	14.0521	14.3049	10.3671	11.0836
GS1_SS_19934_12901	SCBFST3135G04.g	.	.	.	DUF246 domain-containing protein At1g04910	7.1819	7.861			7.6031	8.4041			7.5168	8.174		
GS1_AS_22439_20531	SCAGLR2033A03.g	.	.	Pathogenicity	R-genes transduction				6.3826	6.0933		7.6735				6.8033	6.9874
GS1_AS_41341_16391	SCEPSD2004E09.g	Protein metabolism	.	Protein metabolism	60S ribosomal protein L36 (TRP36)	8.6358	7.7088	7.0989	7.4249	9.3522	7.714	8.1894	7.5324	10.0268	9.5322	8.0775	7.8604
GS1_AS_41226_19108	SCSBSD1031A11.g	.	.	Bioenergetics	aerobic respiration	6.5829		7.7594	7.192	6.7821	6.7758	8.7921	7.8192	8.4625	8.3993	8.6481	8.4749
GS1_AS_17069_03412	SCCCLR1048E03.g	Carbohydrate metabolism	kinase/phosphatase	.	Alpha-glucan water dikinase, chloroplastic; Starch-related R1 protein;			6.6626					7.1653	6.9839	6.8651	8.1902	7.0021
GS1_AS_41186_16564	SCACSD1014H04.g	Others	cytochrome P450 family proteinCell wall	Stress	Cytochrome P450	6.7015		5.8512	6.1035	6.8439	6.8785			7.13	7.3727	6.9664	7.4514
