SAS;Project;Expression
SCACAD1039E02.g;Ancestral;Concordant
SCACHR1037A09.g;Ancestral;Concordant
SCACLR1057C07.g;Ancestral;Concordant
SCACLR2029C05.g;Ancestral;Concordant
SCACRZ3036E03.g;Ancestral;Concordant
SCACSB1035E05.g;Ancestral;Concordant
SCAGAM2126B04.g;Ancestral;Neutral
SCACAD1038A12.g;Circadian I;Neutral
SCACAM2043C06.g;Circadian I;Neutral
SCACAM2043C10.g;Circadian I;Neutral
SCACAM2044B11.g;Circadian I;Neutral
SCACCL6007G08.g;Circadian I;Neutral
SCACHR1035D09.g;Circadian I;Concordant
SCACHR1037A09.g;Circadian I;Neutral
SCACHR1038G11.g;Circadian I;Concordant
SCACHR1039E09.g;Circadian I;Neutral
SCACAD1037B06.g;Circadian II;Concordant
SCACAD1039E02.g;Circadian II;Neutral
SCACCL6010F06.g;Circadian II;Concordant
SCACHR1037A09.g;Circadian II;Neutral
SCACLB1045G10.g;Circadian II;Discordant
SCACLR1057C07.g;Circadian II;Concordant
SCACLR1057G02.g;Circadian II;Neutral
SCACLR1128A09.g;Circadian II;Concordant
SCACLR1128G08.g;Circadian II;Neutral
SCACLR1130F04.g;Circadian II;Discordant
SCACLR2022B05.g;Circadian II;Discordant
SCACLR2022G02.g;Circadian II;Concordant
SCACLR2029C05.g;Circadian II;Concordant
SCACRZ3036E03.g;Circadian II;Concordant
SCACSB1035E05.g;Circadian II;Neutral
SCACSB1037G05.g;Circadian II;Concordant
SCACSB1124G01.g;Circadian II;Concordant
SCACST3159F12.g;Circadian II;Concordant
SCAGAM2016B02.g;Circadian II;Concordant
SCAGAM2126B04.g;Circadian II;Concordant
SCAGCL6012C06.g;Circadian II;Concordant
SCAGCL6013D01.g;Circadian II;Concordant
SCAGFL1090D09.g;Circadian II;Concordant
SCAGHR1017H09.g;Circadian II;Concordant
SCAGHR1019H08.g;Circadian II;Concordant
SCAGLB1069B10.g;Circadian II;Discordant
SCAGLB1069F10.g;Circadian II;Concordant
SCAGLR1021B07.g;Circadian II;Concordant
SCAGLR1021D04.g;Circadian II;Discordant
SCAGLR1021F12.g;Circadian II;Concordant
SCAGLR1021G12.g;Circadian II;Concordant
SCAGLR1043D10.g;Circadian II;Concordant
SCAGLR1043H01.g;Circadian II;Neutral
SCAGLR1064A12.g;Circadian II;Concordant
SCAGLR1064C10.g;Circadian II;Concordant
SCAGLR2011G03.g;Circadian II;Discordant
SCAGLR2011G09.g;Circadian II;Concordant
SCAGLR2018B05.g;Circadian II;Concordant
SCAGLR2026E10.g;Circadian II;Concordant
SCAGLR2026G09.g;Circadian II;Neutral
SCAGLR2026G11.g;Circadian II;Neutral
SCAGLR2033E10.g;Circadian II;Concordant
SCACAD1038A12.g;Drought I;Discordant
SCACAD1039E02.g;Drought I;Neutral
SCACHR1035D09.g;Drought I;Discordant
SCACLR1036F06.g;Drought I;Concordant
SCACAD1039E02.g;Drought II;Neutral
SCACLR1128G08.g;Drought III;Concordant
SCACLR2022B05.g;Drought III;Concordant
SCAGAM2126B04.g;Drought III;Neutral
SCAGCL6012C06.g;Drought III;Concordant
SCACAD1038A12.g;Ethylene;Discordant
SCACAD1039E02.g;Ethylene;Concordant
SCACCL6008A11.g;Ethylene;Concordant
SCACCL6009C02.g;Ethylene;Concordant
SCACLR1057C07.g;Ethylene;Neutral
SCACLR2022B05.g;Ethylene;Discordant
SCACLR2029C05.g;Ethylene;Neutral
SCACRZ3036E03.g;Ethylene;Concordant
SCACSB1035E05.g;Ethylene;Neutral
SCACSD1014H04.g;Ethylene;Concordant
SCACAD1038A12.g;G&M;Discordant
SCACAD1039C10.g;G&M;Discordant
SCACAD1039E02.g;G&M;Neutral
SCACCL6006A11.g;G&M;Discordant
SCACCL6006A12.g;G&M;Neutral
SCACCL6007B03.g;G&M;Neutral
SCACCL6008A11.g;G&M;Concordant
SCACCL6009C02.g;G&M;Discordant
SCACHR1037A09.g;G&M;Concordant
SCACLR1057C07.g;G&M;Concordant
SCACLR1057G02.g;G&M;Concordant
SCACLR1057G08.g;G&M;Concordant
SCACLR1129D10.g;G&M;Discordant
